3;6,Temple,CCOGPL,blue,Pantheon,7,,,1,1,1,2,2
3;4,Statue,TCC,blue,Gardens,5,,,1,2,2,2,2
3;5;6,,GOSS,blue,Town Hall,6,,,1,1,2,3,3
3;7,,GPLCTOS,blue,Palace,8,,,1,1,1,1,2
3;5,Library,OSTT,blue,Senate,6,,,1,1,2,2,2
3;4,Forum,LOT,yellow,Haven,(1){1} brown,,,1,2,2,2,2
3;6,Caravansery,GS,yellow,Lighthouse,(1){1} yellow,,,1,1,1,2,2
4;6,,CCP,yellow,Chamber of Commerce,(2){2} grey,,,0,1,1,2,2
3;5;7,Dispensary,OSS,yellow,Arena,(3){1} wonder,,,1,1,2,2,3
3;7,Walls,SOOO,red,Fortifications,3,,,1,1,1,1,2
4;5;6,Training Ground,SSSO,red,Circus,3,,,0,1,2,3,3
3;4;7,,OTTL,red,Arsenal,3,,,1,2,2,2,3
3;5,Laboratory,TCCC,red,Siege Workshop,3,,,1,1,2,2,2
3;6,Dispensary,CCLP,green,Lodge,1,,,1,1,1,2,2
3;7,Laboratory,OOGL,green,Observatory,2,,,1,1,1,1,2
3;4,Library,TTPG,green,University,3,,,1,2,2,2,2
3;7,School,SSSG,green,Academy,1,,,1,1,1,1,2
3;5,School,TPL,green,Study,2,,,1,1,2,2,2
,,OOCST,purple,Workers Guild,<> brown 1,,,,,,,
,,OOSS,purple,Craftsmens Guild,<> grey 2,,,,,,,
,,LPG,purple,Traders Guild,<> yellow 1,,,,,,,
,,CCCLP,purple,Philosophers Guild,<> green 1,,,,,,,
,,CCCG,purple,Spies Guild,<> red 1,,,,,,,
,,OOSL,purple,Strategists Guild,<> -1 1,,,,,,,
,,TTTPG,purple,Shipowners Guild,"V brown,grey,purple 1",,,,,,,
,,TTOOP,purple,Scientists Guild,&/@/#,,,,,,,
,,TTTSL,purple,Magistrates Guild,<> blue 1,,,,,,,
,,SSCCG,purple,Builders Guild,<V> wonder 1,,,,,,,
